day,hour,minute,date,site,type,WUS,WDS,AUS,ADS
174,14,0,2016,glenquey,dam,10.748,12.304,17.284,16.618
174,14,15,2016,glenquey,dam,11.041,12.497,21.282,17.95
174,14,30,2016,glenquey,dam,11.139,12.594,22.908,18.806
174,14,45,2016,glenquey,dam,10.944,12.497,19.187,17.189
174,15,0,2016,glenquey,dam,10.944,12.497,19.092,16.618
174,15,15,2016,glenquey,dam,11.139,12.401,18.045,16.141
174,15,30,2016,glenquey,dam,11.334,12.497,21.378,17.95
174,15,45,2016,glenquey,dam,11.139,12.497,21.282,18.331
174,16,0,2016,glenquey,dam,11.041,12.497,18.711,17.094
174,16,15,2016,glenquey,dam,11.041,12.497,18.426,16.523
174,16,30,2016,glenquey,dam,10.944,12.304,18.616,16.332
174,16,45,2016,glenquey,dam,10.846,12.207,18.14,16.523
174,17,0,2016,glenquey,dam,10.846,12.304,19.092,17.094
174,17,15,2016,glenquey,dam,11.139,12.401,21.569,18.236
174,17,30,2016,glenquey,dam,11.041,12.497,20.805,18.236
174,17,45,2016,glenquey,dam,11.236,12.594,22.142,18.616
174,18,0,2016,glenquey,dam,11.139,12.497,19.758,17.475
174,18,15,2016,glenquey,dam,11.236,12.497,19.567,17.475
174,18,30,2016,glenquey,dam,11.041,12.304,18.806,16.808
174,18,45,2016,glenquey,dam,10.846,12.207,17.76,16.046
174,19,0,2016,glenquey,dam,10.944,12.11,17.855,15.951
174,19,15,2016,glenquey,dam,10.846,12.11,18.14,16.523
174,19,30,2016,glenquey,dam,10.651,11.916,16.332,15.187
174,19,45,2016,glenquey,dam,10.455,11.916,14.804,14.421
174,20,0,2016,glenquey,dam,10.259,11.819,14.613,14.325
174,20,15,2016,glenquey,dam,10.161,11.722,14.134,13.942
174,20,30,2016,glenquey,dam,9.965,11.625,13.558,13.654
174,20,45,2016,glenquey,dam,9.866,11.625,13.173,13.269
174,21,0,2016,glenquey,dam,9.768,11.528,12.98,12.883
174,21,15,2016,glenquey,dam,9.669,11.528,12.594,12.69
174,21,30,2016,glenquey,dam,9.472,11.528,12.207,12.304
174,21,45,2016,glenquey,dam,9.373,11.431,11.625,11.722
174,22,0,2016,glenquey,dam,9.275,11.431,11.041,10.944
174,22,15,2016,glenquey,dam,9.176,11.334,10.455,10.455
174,22,30,2016,glenquey,dam,9.077,11.334,9.866,9.669
174,22,45,2016,glenquey,dam,8.978,11.334,9.571,9.275
174,23,0,2016,glenquey,dam,8.978,11.236,9.669,9.669
174,23,15,2016,glenquey,dam,8.879,11.236,9.866,9.965
174,23,30,2016,glenquey,dam,8.779,11.236,9.472,9.571
174,23,45,2016,glenquey,dam,8.779,11.236,9.768,9.176
175,1,0,2016,glenquey,dam,8.779,11.334,11.041,11.139
175,1,15,2016,glenquey,dam,8.779,11.334,10.944,11.139
175,1,30,2016,glenquey,dam,8.779,11.334,10.846,11.041
175,1,45,2016,glenquey,dam,8.779,11.334,10.748,11.041
175,2,0,2016,glenquey,dam,8.779,11.334,10.651,11.041
175,2,15,2016,glenquey,dam,8.68,11.334,10.455,10.846
175,2,30,2016,glenquey,dam,8.68,11.236,10.259,10.748
175,2,45,2016,glenquey,dam,8.68,11.236,9.768,10.553
175,3,0,2016,glenquey,dam,8.68,11.236,10.063,10.553
175,3,15,2016,glenquey,dam,8.68,11.236,10.553,10.748
175,3,30,2016,glenquey,dam,8.68,11.236,10.846,11.041
175,3,45,2016,glenquey,dam,8.68,11.236,10.944,11.236
175,4,0,2016,glenquey,dam,8.68,11.236,10.944,11.236
175,4,15,2016,glenquey,dam,8.68,11.236,10.944,11.139
175,4,30,2016,glenquey,dam,8.68,11.236,10.944,10.846
175,4,45,2016,glenquey,dam,8.68,11.236,11.041,10.846
175,5,0,2016,glenquey,dam,8.68,11.236,10.846,10.944
175,5,15,2016,glenquey,dam,8.68,11.236,10.455,10.846
175,5,30,2016,glenquey,dam,8.68,11.236,10.651,10.455
175,5,45,2016,glenquey,dam,8.68,11.236,11.139,10.455
175,6,0,2016,glenquey,dam,8.779,11.236,11.625,10.553
175,6,15,2016,glenquey,dam,8.779,11.236,12.013,11.139
175,6,30,2016,glenquey,dam,8.779,11.236,12.401,11.625
175,6,45,2016,glenquey,dam,8.879,11.334,12.497,11.916
175,7,0,2016,glenquey,dam,8.978,11.334,12.98,12.69
175,7,15,2016,glenquey,dam,8.978,11.431,13.461,13.365
175,7,30,2016,glenquey,dam,9.077,11.528,14.038,13.846
175,7,45,2016,glenquey,dam,9.077,11.625,13.269,13.942
175,8,0,2016,glenquey,dam,9.176,11.625,13.75,13.269
175,8,15,2016,glenquey,dam,9.275,11.625,14.804,13.076
