"","hour","day","site","WDS","WUS","type","progr"
"1",10,188,"Glenquey",13.60575,11.23625,"dam",2017-07-07 09:00:00
"2",11,188,"Glenquey",14.134,11.69775,"dam",2017-07-07 10:00:00
"3",12,188,"Glenquey",11.722,8.581,"dam",2017-07-07 11:00:00
"4",13,188,"Glenquey",14.30125,11.98875,"dam",2017-07-07 12:00:00
"5",14,188,"Glenquey",14.18175,11.916,"dam",2017-07-07 13:00:00
"6",15,188,"Glenquey",13.942,12.03725,"dam",2017-07-07 14:00:00
"7",16,188,"Glenquey",14.11,11.819,"dam",2017-07-07 15:00:00
"8",17,188,"Glenquey",14.086,11.64925,"dam",2017-07-07 16:00:00
"9",18,188,"Glenquey",13.12325,10.649,"dam",2017-07-07 17:00:00
"10",19,188,"Glenquey",12.2555,9.7925,"dam",2017-07-07 18:00:00
"11",20,188,"Glenquey",12.207,9.69375,"dam",2017-07-07 19:00:00
"12",21,188,"Glenquey",12.11,9.5955,"dam",2017-07-07 20:00:00
"13",22,188,"Glenquey",12.11,9.54625,"dam",2017-07-07 21:00:00
"14",23,188,"Glenquey",12.08575,9.472,"dam",2017-07-07 22:00:00
"15",24,188,"Glenquey",14.206,12.11,"dam",2017-07-07 23:00:00
"16",1,189,"Glenquey",11.79475,9.39775,"dam",2017-07-08 00:00:00
"17",2,189,"Glenquey",11.74625,9.49675,"dam",2017-07-08 01:00:00
"18",3,189,"Glenquey",11.722,9.5215,"dam",2017-07-08 02:00:00
"19",4,189,"Glenquey",11.4795,9.324,"dam",2017-07-08 03:00:00
"20",5,189,"Glenquey",11.722,8.37925,"dam",2017-07-08 04:00:00
"21",6,189,"Glenquey",12.13425,7.782,"dam",2017-07-08 05:00:00
"22",7,189,"Glenquey",12.3765,8.25675,"dam",2017-07-08 06:00:00
"23",8,189,"Glenquey",12.666,9.027,"dam",2017-07-08 07:00:00
"24",9,189,"Glenquey",13.22075,9.69375,"dam",2017-07-08 08:00:00
"25",10,189,"Glenquey",13.582,10.1855,"dam",2017-07-08 09:00:00
"26",11,189,"Glenquey",13.798,10.91925,"dam",2017-07-08 10:00:00
"27",12,189,"Glenquey",11.9645,9.39775,"dam",2017-07-08 11:00:00
"28",13,189,"Glenquey",14.80425,12.81075,"dam",2017-07-08 12:00:00
"29",14,189,"Glenquey",15.01925,12.9315,"dam",2017-07-08 13:00:00
"30",15,189,"Glenquey",14.181,12.5695,"dam",2017-07-08 14:00:00
"31",16,189,"Glenquey",14.014,12.425,"dam",2017-07-08 15:00:00
"32",17,189,"Glenquey",13.918,12.207,"dam",2017-07-08 16:00:00
"33",18,189,"Glenquey",13.38925,11.79475,"dam",2017-07-08 17:00:00
"34",19,189,"Glenquey",12.9555,11.358,"dam",2017-07-08 18:00:00
"35",20,189,"Glenquey",12.7385,10.89475,"dam",2017-07-08 19:00:00
"36",21,189,"Glenquey",12.56975,10.504,"dam",2017-07-08 20:00:00
"37",22,189,"Glenquey",12.425,10.161,"dam",2017-07-08 21:00:00
"38",23,189,"Glenquey",12.401,9.94025,"dam",2017-07-08 22:00:00
"39",24,189,"Glenquey",14.11,11.98875,"dam",2017-07-08 23:00:00
"40",1,190,"Glenquey",12.304,9.69375,"dam",2017-07-09 00:00:00
"41",2,190,"Glenquey",12.2555,9.669,"dam",2017-07-09 01:00:00
"42",3,190,"Glenquey",12.0615,9.6445,"dam",2017-07-09 02:00:00
"43",4,190,"Glenquey",11.98875,9.66925,"dam",2017-07-09 03:00:00
"44",5,190,"Glenquey",12.59275,9.37325,"dam",2017-07-09 04:00:00
"45",6,190,"Glenquey",12.90725,9.2255,"dam",2017-07-09 05:00:00
"46",7,190,"Glenquey",13.028,9.52125,"dam",2017-07-09 06:00:00
"47",8,190,"Glenquey",12.303,10.20975,"dam",2017-07-09 07:00:00
"48",9,190,"Glenquey",12.81,10.111,"dam",2017-07-09 08:00:00
"49",10,190,"Glenquey",12.61775,10.7725,"dam",2017-07-09 09:00:00
"50",11,190,"Glenquey",12.71425,10.7725,"dam",2017-07-09 10:00:00
"51",12,190,"Glenquey",12.304,9.7925,"dam",2017-07-09 11:00:00
"52",13,190,"Glenquey",13.894,11.4065,"dam",2017-07-09 12:00:00
"53",14,190,"Glenquey",13.822,11.3335,"dam",2017-07-09 13:00:00
"54",15,190,"Glenquey",13.4855,11.1875,"dam",2017-07-09 14:00:00
"55",16,190,"Glenquey",13.726,11.358,"dam",2017-07-09 15:00:00
"56",17,190,"Glenquey",13.29275,11.21175,"dam",2017-07-09 16:00:00
"57",18,190,"Glenquey",12.76275,10.79725,"dam",2017-07-09 17:00:00
"58",19,190,"Glenquey",12.473,10.357,"dam",2017-07-09 18:00:00
"59",20,190,"Glenquey",12.207,9.817,"dam",2017-07-09 19:00:00
"60",21,190,"Glenquey",13.19675,9.74325,"dam",2017-07-09 20:00:00
"61",22,190,"Glenquey",13.004,9.57075,"dam",2017-07-09 21:00:00
"62",23,190,"Glenquey",12.883,9.4225,"dam",2017-07-09 22:00:00
"63",24,190,"Glenquey",13.34125,10.821,"dam",2017-07-09 23:00:00
"64",1,191,"Glenquey",12.835,9.275,"dam",2017-07-10 00:00:00
"65",2,191,"Glenquey",12.787,9.176,"dam",2017-07-10 01:00:00
"66",3,191,"Glenquey",12.787,9.1265,"dam",2017-07-10 02:00:00
"67",4,191,"Glenquey",12.787,9.10175,"dam",2017-07-10 03:00:00
"68",5,191,"Glenquey",12.787,9.077,"dam",2017-07-10 04:00:00
"69",6,191,"Glenquey",12.448,9.05225,"dam",2017-07-10 05:00:00
"70",7,191,"Glenquey",11.50375,9.10175,"dam",2017-07-10 06:00:00
"71",8,191,"Glenquey",11.528,9.2255,"dam",2017-07-10 07:00:00
"72",9,191,"Glenquey",12.5685,9.2995,"dam",2017-07-10 08:00:00
"73",10,191,"Glenquey",12.085,9.49675,"dam",2017-07-10 09:00:00
"74",11,191,"Glenquey",11.9645,9.64475,"dam",2017-07-10 10:00:00
"75",12,191,"Glenquey",12.787,9.3485,"dam",2017-07-10 11:00:00
"76",13,191,"Glenquey",13.052,10.6505,"dam",2017-07-10 12:00:00
"77",14,191,"Glenquey",12.835,10.651,"dam",2017-07-10 13:00:00
"78",15,191,"Glenquey",12.47325,10.4795,"dam",2017-07-10 14:00:00
"79",16,191,"Glenquey",12.23125,10.259,"dam",2017-07-10 15:00:00
"80",17,191,"Glenquey",12.207,10.161,"dam",2017-07-10 16:00:00
"81",18,191,"Glenquey",12.1585,10.063,"dam",2017-07-10 17:00:00
"82",19,191,"Glenquey",12.2555,10.0875,"dam",2017-07-10 18:00:00
"83",20,191,"Glenquey",12.2555,10.21,"dam",2017-07-10 19:00:00
"84",21,191,"Glenquey",12.03725,10.3815,"dam",2017-07-10 20:00:00
"85",22,191,"Glenquey",11.9645,10.259,"dam",2017-07-10 21:00:00
"86",23,191,"Glenquey",12.03725,10.063,"dam",2017-07-10 22:00:00
"87",24,191,"Glenquey",12.18275,10.01375,"dam",2017-07-10 23:00:00
"88",1,192,"Glenquey",11.819,9.768,"dam",2017-07-11 00:00:00
"89",2,192,"Glenquey",11.819,9.768,"dam",2017-07-11 01:00:00
"90",3,192,"Glenquey",11.6735,9.69375,"dam",2017-07-11 02:00:00
"91",4,192,"Glenquey",11.60075,9.62,"dam",2017-07-11 03:00:00
"92",5,192,"Glenquey",11.50375,9.49675,"dam",2017-07-11 04:00:00
"93",6,192,"Glenquey",11.528,9.472,"dam",2017-07-11 05:00:00
"94",7,192,"Glenquey",11.55225,9.472,"dam",2017-07-11 06:00:00
"95",8,192,"Glenquey",11.528,9.472,"dam",2017-07-11 07:00:00
"96",9,192,"Glenquey",12.1575,9.4225,"dam",2017-07-11 08:00:00
"97",10,192,"Glenquey",11.9395,9.571,"dam",2017-07-11 09:00:00
"98",11,192,"Glenquey",12.3265,9.7185,"dam",2017-07-11 10:00:00
"99",12,192,"Glenquey",11.94025,9.9155,"dam",2017-07-11 11:00:00
"100",13,192,"Glenquey",13.269,10.528,"dam",2017-07-11 12:00:00
"101",14,192,"Glenquey",13.0015,10.64925,"dam",2017-07-11 13:00:00
"102",15,192,"Glenquey",12.11,10.112,"dam",2017-07-11 14:00:00
"103",16,192,"Glenquey",12.207,10.21,"dam",2017-07-11 15:00:00
"104",17,192,"Glenquey",12.1585,10.406,"dam",2017-07-11 16:00:00
"105",18,192,"Glenquey",12.11,10.4795,"dam",2017-07-11 17:00:00
"106",19,192,"Glenquey",12.08575,10.5775,"dam",2017-07-11 18:00:00
"107",20,192,"Glenquey",11.94025,10.406,"dam",2017-07-11 19:00:00
"108",21,192,"Glenquey",11.8675,10.2835,"dam",2017-07-11 20:00:00
"109",22,192,"Glenquey",11.819,10.2345,"dam",2017-07-11 21:00:00
"110",23,192,"Glenquey",11.74625,10.112,"dam",2017-07-11 22:00:00
"111",24,192,"Glenquey",13.14875,9.9645,"dam",2017-07-11 23:00:00
"112",1,193,"Glenquey",11.55225,9.8415,"dam",2017-07-12 00:00:00
"113",2,193,"Glenquey",11.40675,9.74325,"dam",2017-07-12 01:00:00
"114",3,193,"Glenquey",11.334,9.6445,"dam",2017-07-12 02:00:00
"115",4,193,"Glenquey",11.334,9.54625,"dam",2017-07-12 03:00:00
"116",5,193,"Glenquey",11.528,9.075,"dam",2017-07-12 04:00:00
"117",6,193,"Glenquey",12.27975,8.232,"dam",2017-07-12 05:00:00
"118",7,193,"Glenquey",12.61775,8.68,"dam",2017-07-12 06:00:00
"119",8,193,"Glenquey",12.5925,9.4225,"dam",2017-07-12 07:00:00
"120",9,193,"Glenquey",11.6735,9.76775,"dam",2017-07-12 08:00:00
"121",10,193,"Glenquey",13.413,10.112,"dam",2017-07-12 09:00:00
"122",11,193,"Glenquey",13.53375,10.553,"dam",2017-07-12 10:00:00
"123",12,193,"Glenquey",11.6735,9.9895,"dam",2017-07-12 11:00:00
"124",13,193,"Glenquey",14.134,11.55225,"dam",2017-07-12 12:00:00
"125",14,193,"Glenquey",14.086,12.15825,"dam",2017-07-12 13:00:00
"126",15,193,"Glenquey",14.37325,12.497,"dam",2017-07-12 14:00:00
"127",16,193,"Glenquey",14.613,12.35225,"dam",2017-07-12 15:00:00
"128",17,193,"Glenquey",13.0265,10.94175,"dam",2017-07-12 16:00:00
